name,price,description,image
Haiku#1722,300,"Técnica mixta sobre papel, 2017 (60 x 42)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213181/naniBoronat/pmubbrxp1wvnfvbjnwnw.jpg
Haiku#1727,300,"Técnica mixta sobre papel, 2017 (60 x 42)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213182/naniBoronat/dzz1ugr5crr3vxzffdy8.jpg
Haiku-Masai#1715,200,"Técnica mixta sobre papel, 2017 (30 x 21)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213184/naniBoronat/iwi1sm0f4c8usy5r259f.jpg
La bañista#1716,200,"Técnica mixta sobre papel, 2017 (30 x 21)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213185/naniBoronat/wnjdssos8o6jhcde49vf.jpg
Can-can#1717,200,"Técnica mixta sobre papel, 2017 (30 x 21)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213187/naniBoronat/xjyb00us6rzpvqnr3jgi.jpg
Caput Mortuum#1718,200,"Técnica mixta sobre papel, 2017 (30 x 21)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213188/naniBoronat/s2m79bjdohvklhrx2pf1.jpg
Bestiario Andaluz II#1827,200,"Técnica mixta sobre papel, 2018 (29,5 x 40,5)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213189/naniBoronat/nik4d5bqovtyx9olc1zg.jpg
Haiku cuántico#1750,150,"Técnica mixta sobre papel, 2017 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213190/naniBoronat/l9atn089dzgkva8ctbyj.jpg
Suite Rocinante I,150,"Técnica seca sobre papel, 2019 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213191/naniBoronat/cu2mx8o9yshbkxatla5t.jpg
Suite Rocinante II,150,"Técnica seca sobre papel, 2019 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213193/naniBoronat/wgciggm5ilbuf4sy7xup.jpg
Suite Rocinante III,150,"Técnica seca sobre papel, 2019 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213195/naniBoronat/d6dagbvdigr6en7lpzhf.jpg
Suite Rocinante IV,150,"Técnica seca sobre papel, 2019 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213196/naniBoronat/yldzqytui54jkta9ucaf.jpg
Suite Rocinante V,150,"Técnica seca sobre papel, 2019 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213197/naniBoronat/ucvlhdmjprbwh7cmlfmv.jpg
Suite Rocinante VI,150,"Técnica seca sobre papel, 2019 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213199/naniBoronat/xsu8jsrm6gsc4rfgsave.jpg
Suite Rocinante VII,150,"Técnica seca sobre papel, 2019 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213200/naniBoronat/ibcwp4pykbhanvhxfqak.jpg
Suite Rocinante VIII,150,"Técnica seca sobre papel, 2019 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213202/naniBoronat/tsb1edc0ihzyuein9edd.jpg
Suite Rocinante IX,150,"Técnica seca sobre papel, 2019 (20 x 20)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213202/naniBoronat/tgtmak9sezldxkcuz0wp.jpg
Suite Rocinante X,250,"Técnica mixta sobre papel montado en madera, 2019 (30 x 28,5)",https://res.cloudinary.com/dkaqnub41/image/upload/v1741213204/naniBoronat/sy9rx6siyunsenkfiwzn.jpg
